# time pixelation values
# data save on: 2024-05-14T14:20:45-03:00
equator	age	stage-pixel	value
180	0	1224	105
180	0	1225	105
180	0	1226	105
180	0	1227	105
180	0	1228	105
180	0	1229	105
180	0	1230	105
180	0	1231	105
180	0	1232	105
180	0	1233	105
180	0	1234	105
180	0	1235	101
180	0	1236	101
180	0	1237	101
180	0	1238	101
180	0	1239	101
180	0	1240	101
180	0	1241	101
180	0	1242	101
180	0	1243	101
180	0	1244	101
180	0	1245	101
180	0	1246	101
180	0	1247	101
180	0	1248	101
180	0	1249	101
180	0	1250	101
180	0	1251	101
180	0	1252	101
180	0	1253	101
180	0	1254	101
180	0	1286	101
180	0	1287	101
180	0	1288	101
180	0	1289	101
180	0	1290	101
180	0	1291	101
180	0	1292	101
180	0	1293	101
180	0	1294	101
180	0	1295	101
180	0	1296	101
180	0	1297	101
180	0	1298	101
180	0	1299	101
180	0	1300	101
180	0	1301	101
180	0	1302	101
180	0	1303	101
180	0	1304	101
180	0	1307	101
180	0	1308	101
180	0	1326	101
180	0	1327	101
180	0	1328	101
180	0	1329	101
180	0	1330	101
180	0	1331	101
180	0	1332	101
180	0	1333	101
180	0	1334	105
180	0	1335	105
180	0	1336	105
180	0	1337	105
180	0	1338	105
180	0	1339	105
180	0	1340	105
180	0	1341	105
180	0	1342	105
180	0	1345	105
180	0	1346	105
180	0	1347	105
180	0	1348	105
180	0	1349	105
180	0	1350	105
180	0	1351	105
180	0	1352	105
180	0	1353	101
180	0	1354	101
180	0	1355	101
180	0	1356	101
180	0	1357	101
180	0	1358	101
180	0	1359	101
180	0	1360	101
180	0	1361	101
180	0	1362	101
180	0	1363	101
180	0	1364	101
180	0	1365	101
180	0	1366	101
180	0	1367	101
180	0	1368	101
180	0	1369	101
180	0	1370	101
180	0	1371	101
180	0	1372	101
180	0	1373	101
180	0	1407	101
180	0	1408	101
180	0	1409	101
180	0	1410	101
180	0	1411	101
180	0	1412	101
180	0	1413	101
180	0	1414	101
180	0	1415	101
180	0	1416	101
180	0	1417	101
180	0	1418	101
180	0	1419	101
180	0	1420	101
180	0	1421	101
180	0	1422	101
180	0	1423	101
180	0	1424	101
180	0	1425	101
180	0	1426	101
180	0	1427	101
180	0	1429	101
180	0	1450	101
180	0	1451	101
180	0	1452	101
180	0	1453	101
180	0	1454	101
180	0	1455	101
180	0	1456	101
180	0	1457	105
180	0	1458	105
180	0	1459	105
180	0	1460	105
180	0	1463	105
180	0	1464	105
180	0	1465	105
180	0	1469	105
180	0	1470	105
180	0	1471	105
180	0	1472	105
180	0	1473	105
180	0	1474	105
180	0	1475	101
180	0	1476	101
180	0	1477	101
180	0	1478	101
180	0	1479	101
180	0	1480	101
180	0	1481	101
180	0	1482	101
180	0	1483	101
180	0	1484	101
180	0	1485	101
180	0	1486	101
180	0	1487	101
180	0	1488	101
180	0	1489	101
180	0	1490	101
180	0	1491	101
180	0	1492	101
180	0	1493	101
180	0	1494	101
180	0	1495	101
180	0	1496	101
180	0	1497	101
180	0	1532	101
180	0	1533	101
180	0	1534	101
180	0	1535	101
180	0	1536	101
180	0	1537	101
180	0	1538	101
180	0	1539	101
180	0	1540	101
180	0	1541	105
180	0	1542	105
180	0	1543	101
180	0	1544	101
180	0	1545	101
180	0	1546	101
180	0	1547	101
180	0	1548	101
180	0	1549	105
180	0	1550	105
180	0	1551	105
180	0	1553	101
180	0	1576	105
180	0	1577	105
180	0	1578	105
180	0	1579	105
180	0	1580	105
180	0	1582	105
180	0	1583	105
180	0	1584	105
180	0	1585	105
180	0	1586	105
180	0	1591	105
180	0	1592	105
180	0	1595	105
180	0	1596	105
180	0	1597	105
180	0	1598	105
180	0	1599	105
180	0	1600	105
180	0	1601	105
180	0	1602	101
180	0	1603	101
180	0	1604	101
180	0	1605	101
180	0	1606	101
180	0	1607	101
180	0	1608	101
180	0	1609	101
180	0	1610	101
180	0	1611	101
180	0	1612	101
180	0	1613	101
180	0	1614	101
180	0	1615	101
180	0	1616	101
180	0	1617	101
180	0	1618	103
180	0	1619	103
180	0	1620	103
180	0	1621	101
180	0	1622	101
180	0	1623	101
180	0	1624	101
180	0	1627	101
180	0	1628	101
180	0	1662	101
180	0	1663	101
180	0	1664	101
180	0	1665	101
180	0	1666	101
180	0	1667	101
180	0	1668	101
180	0	1669	101
180	0	1670	101
180	0	1671	105
180	0	1672	105
180	0	1673	105
180	0	1674	105
180	0	1675	105
180	0	1676	105
180	0	1677	105
180	0	1678	105
180	0	1679	105
180	0	1680	105
180	0	1681	105
180	0	1706	101
180	0	1707	107
180	0	1708	108
180	0	1709	108
180	0	1713	105
180	0	1716	105
180	0	1717	105
180	0	1718	105
180	0	1721	105
180	0	1724	105
180	0	1725	105
180	0	1726	105
180	0	1729	105
180	0	1730	105
180	0	1731	105
180	0	1732	105
180	0	1733	101
180	0	1734	101
180	0	1735	101
180	0	1736	101
180	0	1737	101
180	0	1738	101
180	0	1739	101
180	0	1740	101
180	0	1741	101
180	0	1742	101
180	0	1743	101
180	0	1744	101
180	0	1745	101
180	0	1746	101
180	0	1747	101
180	0	1748	101
180	0	1749	103
180	0	1750	103
180	0	1751	103
180	0	1752	103
180	0	1753	103
180	0	1754	103
180	0	1755	103
180	0	1756	103
180	0	1797	101
180	0	1798	101
180	0	1799	101
180	0	1800	101
180	0	1801	101
180	0	1802	101
180	0	1803	105
180	0	1804	105
180	0	1805	105
180	0	1806	105
180	0	1807	105
180	0	1808	105
180	0	1809	105
180	0	1810	105
180	0	1811	105
180	0	1812	105
180	0	1813	105
180	0	1814	105
180	0	1815	105
180	0	1841	107
180	0	1842	107
180	0	1843	107
180	0	1847	108
180	0	1850	105
180	0	1852	105
180	0	1854	105
180	0	1855	105
180	0	1856	105
180	0	1857	105
180	0	1858	105
180	0	1859	105
180	0	1860	105
180	0	1861	105
180	0	1862	105
180	0	1865	105
180	0	1866	105
180	0	1867	105
180	0	1868	105
180	0	1869	105
180	0	1870	105
180	0	1871	101
180	0	1872	101
180	0	1873	101
180	0	1874	101
180	0	1875	101
180	0	1876	101
180	0	1877	101
180	0	1878	101
180	0	1879	101
180	0	1880	101
180	0	1881	101
180	0	1882	101
180	0	1883	101
180	0	1884	101
180	0	1885	103
180	0	1886	103
180	0	1887	103
180	0	1888	103
180	0	1889	103
180	0	1891	105
180	0	1892	105
180	0	1936	104
180	0	1937	104
180	0	1938	105
180	0	1939	101
180	0	1940	101
180	0	1941	101
180	0	1942	105
180	0	1943	105
180	0	1944	105
180	0	1945	105
180	0	1946	105
180	0	1947	105
180	0	1948	105
180	0	1949	105
180	0	1950	105
180	0	1951	105
180	0	1952	105
180	0	1953	105
180	0	1954	105
180	0	1981	107
180	0	1982	107
180	0	1983	107
180	0	1990	105
180	0	1993	105
180	0	1996	104
180	0	1997	104
180	0	1998	105
180	0	1999	105
180	0	2000	105
180	0	2001	105
180	0	2002	105
180	0	2003	105
180	0	2006	105
180	0	2007	105
180	0	2008	105
180	0	2009	105
180	0	2010	105
180	0	2011	105
180	0	2012	101
180	0	2013	101
180	0	2014	101
180	0	2015	101
180	0	2016	101
180	0	2017	101
180	0	2018	101
180	0	2019	101
180	0	2020	101
180	0	2021	101
180	0	2022	101
180	0	2023	101
180	0	2024	103
180	0	2025	103
180	0	2026	103
180	0	2027	103
180	0	2028	103
180	0	2029	103
180	0	2030	103
180	0	2034	105
180	0	2079	104
180	0	2080	104
180	0	2081	104
180	0	2082	105
180	0	2083	105
180	0	2084	105
180	0	2085	105
180	0	2086	105
180	0	2087	105
180	0	2088	105
180	0	2089	105
180	0	2090	105
180	0	2091	105
180	0	2092	105
180	0	2093	105
180	0	2094	105
180	0	2095	105
180	0	2096	105
180	0	2128	110
180	0	2129	110
180	0	2130	110
180	0	2131	110
180	0	2143	105
180	0	2144	105
180	0	2145	105
180	0	2146	105
180	0	2147	105
180	0	2148	105
180	0	2149	105
180	0	2150	105
180	0	2151	105
180	0	2152	105
180	0	2153	105
180	0	2154	105
180	0	2155	105
180	0	2156	105
180	0	2157	101
180	0	2158	101
180	0	2159	101
180	0	2160	101
180	0	2161	101
180	0	2162	101
180	0	2163	101
180	0	2164	101
180	0	2165	101
180	0	2166	101
180	0	2167	101
180	0	2168	101
180	0	2169	103
180	0	2170	103
180	0	2171	103
180	0	2172	103
180	0	2173	103
180	0	2174	103
180	0	2175	105
180	0	2176	105
180	0	2180	105
180	0	2183	105
180	0	2184	105
180	0	2227	104
180	0	2228	104
180	0	2229	104
180	0	2230	104
180	0	2231	105
180	0	2232	105
180	0	2233	105
180	0	2234	105
180	0	2235	105
180	0	2236	105
180	0	2237	105
180	0	2238	105
180	0	2239	105
180	0	2240	105
180	0	2241	105
180	0	2242	105
180	0	2243	105
180	0	2274	110
180	0	2275	110
180	0	2276	110
180	0	2277	110
180	0	2279	110
180	0	2280	110
