pixel	lat	lon
175	76.000000	175.909091
176	74.000000	-180.000000
177	74.000000	-172.800000
178	74.000000	-165.600000
179	74.000000	-158.400000
180	74.000000	-151.200000
181	74.000000	-144.000000
182	74.000000	-136.800000
183	74.000000	-129.600000
184	74.000000	-122.400000
185	74.000000	-115.200000
186	74.000000	-108.000000
187	74.000000	-100.800000
188	74.000000	-93.600000
189	74.000000	-86.400000
190	74.000000	-79.200000
191	74.000000	-72.000000
192	74.000000	-64.800000
193	74.000000	-57.600000
194	74.000000	-50.400000
195	74.000000	-43.200000
196	74.000000	-36.000000
197	74.000000	-28.800000
198	74.000000	-21.600000
199	74.000000	-14.400000
200	74.000000	-7.200000
201	74.000000	0.000000
202	74.000000	7.200000
203	74.000000	14.400000
204	74.000000	21.600000
205	74.000000	28.800000
206	74.000000	36.000000
207	74.000000	43.200000
208	74.000000	50.400000
209	74.000000	57.600000
210	74.000000	64.800000
211	74.000000	72.000000
212	74.000000	79.200000
213	74.000000	86.400000
214	74.000000	93.600000
215	74.000000	100.800000
216	74.000000	108.000000
217	74.000000	115.200000
218	74.000000	122.400000
219	74.000000	129.600000
220	74.000000	136.800000
221	74.000000	144.000000
222	74.000000	151.200000
223	74.000000	158.400000
224	74.000000	165.600000
225	74.000000	172.800000
226	72.000000	-176.785714
227	72.000000	-170.357143
228	72.000000	-163.928571
229	72.000000	-157.500000
230	72.000000	-151.071429
231	72.000000	-144.642857
232	72.000000	-138.214286
233	72.000000	-131.785714
234	72.000000	-125.357143
235	72.000000	-118.928571
236	72.000000	-112.500000
237	72.000000	-106.071429
238	72.000000	-99.642857
239	72.000000	-93.214286
240	72.000000	-86.785714
241	72.000000	-80.357143
242	72.000000	-73.928571
243	72.000000	-67.500000
244	72.000000	-61.071429
245	72.000000	-54.642857
246	72.000000	-48.214286
247	72.000000	-41.785714
248	72.000000	-35.357143
249	72.000000	-28.928571
250	72.000000	-22.500000
251	72.000000	-16.071429
252	72.000000	-9.642857
253	72.000000	-3.214286
254	72.000000	3.214286
255	72.000000	9.642857
256	72.000000	16.071429
257	72.000000	22.500000
258	72.000000	28.928571
259	72.000000	35.357143
260	72.000000	41.785714
261	72.000000	48.214286
262	72.000000	54.642857
263	72.000000	61.071429
264	72.000000	67.500000
265	72.000000	73.928571
266	72.000000	80.357143
267	72.000000	86.785714
268	72.000000	93.214286
269	72.000000	99.642857
270	72.000000	106.071429
271	72.000000	112.500000
272	72.000000	118.928571
273	72.000000	125.357143
274	72.000000	131.785714
275	72.000000	138.214286
276	72.000000	144.642857
277	72.000000	151.071429
278	72.000000	157.500000
279	72.000000	163.928571
280	72.000000	170.357143
281	72.000000	176.785714
282	70.000000	-180.000000
